exerciseId,name,gifUrl,target_muscles,body_part_category,equipment_needed,secondaryMuscles,instructions
2ORFMoR,hack calf raise,2ORFMoR.gif,calves,lower legs,sled machine,hamstrings; glutes,"Step:1 Adjust the sled machine to a comfortable weight.; Step:2 Stand on the sled machine with your toes on the platform and your heels hanging off.; Step:3 Hold onto the handles for stability.; Step:4 Raise your heels as high as possible by pushing through the balls of your feet.; Step:5 Pause for a moment at the top, then slowly lower your heels back down to the starting position.; Step:6 Repeat for the desired number of repetitions."
2Qh2J1e,sled 45Â° leg press (side pov),2Qh2J1e.gif,glutes,upper legs,sled machine,quadriceps; hamstrings; calves,"Step:1 Adjust the seat of the sled machine so that your knees are at a 90-degree angle when your feet are on the footplate.; Step:2 Sit on the sled machine with your back flat against the backrest and your feet shoulder-width apart on the footplate.; Step:3 Grip the handles on the sides of the seat for stability.; Step:4 Push against the footplate to extend your legs, straightening them completely.; Step:5 Pause for a moment at the top, then slowly bend your knees to lower the footplate back to the starting position.; Step:6 Repeat for the desired number of repetitions."
3eGE2JC,dumbbell front raise,3eGE2JC.gif,delts,shoulders,dumbbell,biceps; trapezius,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your thighs.; Step:2 Keeping your arms straight, exhale and lift the dumbbells in front of you until they are at shoulder level.; Step:3 Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position.; Step:4 Repeat for the desired number of repetitions."
3tAXPQ6,dumbbell over bench revers wrist curl,3tAXPQ6.gif,forearms,lower arms,dumbbell,biceps; brachialis,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing down.; Step:2 Rest your forearms on the bench, allowing your wrists to hang off the edge.; Step:3 Slowly curl your wrists upward, bringing the dumbbells towards your body.; Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position.; Step:5 Repeat for the desired number of repetitions."
3TZduzM,barbell incline bench press,3TZduzM.gif,pectorals,chest,barbell,shoulders; triceps,"Step:1 Set up an incline bench at a 45-degree angle.; Step:2 Lie down on the bench with your feet flat on the ground.; Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.; Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.; Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position.; Step:6 Repeat for the desired number of repetitions."
3XFdb1Z,cable squatting curl,3XFdb1Z.gif,biceps,upper arms,cable,forearms,"Step:1 Attach a cable handle to the lowest setting on a cable machine.; Step:2 Stand facing the machine with your feet shoulder-width apart.; Step:3 Hold the cable handle with an underhand grip, palms facing up, and arms fully extended.; Step:4 Lower your body into a squat position, keeping your back straight and knees behind your toes.; Step:5 As you squat down, curl the cable handle towards your shoulders, keeping your elbows close to your sides.; Step:6 Pause for a moment at the top of the curl, squeezing your biceps.; Step:7 Slowly lower the cable handle back to the starting position, fully extending your arms.; Step:8 Repeat for the desired number of repetitions."
4dF3maG,dumbbell one arm hammer preacher curl,4dF3maG.gif,biceps,upper arms,dumbbell,forearms,"Step:1 Sit on a preacher bench with a dumbbell in one hand and your upper arm resting on the pad.; Step:2 Hold the dumbbell with a neutral grip (palms facing your body).; Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder.; Step:4 Pause for a moment at the top, squeezing your biceps.; Step:5 Inhale and slowly lower the dumbbell back to the starting position.; Step:6 Repeat for the desired number of repetitions, then switch arms."
4dUn2iv,barbell standing close grip curl,4dUn2iv.gif,biceps,upper arms,barbell,forearms,"Step:1 Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, hands close together.; Step:2 Keep your elbows close to your torso and your upper arms stationary throughout the movement.; Step:3 Exhale as you curl the weights while contracting your biceps. Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.; Step:4 Hold the contracted position for a brief pause as you squeeze your biceps.; Step:5 Inhale as you slowly begin to bring the barbell back to the starting position.; Step:6 Repeat for the desired number of repetitions."
5bpPTHv,kettlebell pistol squat,5bpPTHv.gif,glutes,upper legs,kettlebell,quadriceps; hamstrings; calves,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in front of your chest with both hands.; Step:2 Lift your left foot off the ground and extend it forward, keeping it parallel to the ground.; Step:3 Slowly lower your body down into a squat position, keeping your right foot flat on the ground and your left leg extended.; Step:4 Pause for a moment at the bottom of the squat, then push through your right heel to return to the starting position.; Step:5 Repeat for the desired number of repetitions, then switch legs."
05Cf2v8,impossible dips,05Cf2v8.gif,triceps,upper arms,body weight,chest; shoulders,"Step:1 Position yourself between two parallel bars with your arms fully extended and your body suspended in the air.; Step:2 Bend your knees and cross your ankles.; Step:3 Lower your body by bending your elbows until your upper arms are parallel to the ground.; Step:4 Pause for a moment, then push yourself back up to the starting position by straightening your arms.; Step:5 Repeat for the desired number of repetitions."
